車両ID-01,車両ID-02,車両ID-03,車両ID-04,車両ID-05,車両ID-06,車両ID-07,車両ID-08,車両ID-09,車両ID-10,車両ID-11,車両ID-12,車両ID-13,車両ID-14,日付,スタンプ,記述
e531-081,e531-082,e531-083,e531-084,e531-085,e531-086,e531-087,e531-088,e531-089,,,,,,2022/03/24,other,クハE531-1011を返却。残り9両は運用離脱。
khe130-07,,,,,,,,,,,,,,2022/03/28,toso,イエローハッピートレイン塗装
e531-1055,,,,,,,,,,,,,,2022/03/30,kumikae,K461編成に組み込み。
e531-1051,e531-1052,e531-1053,e531-1054,e531-1055,,,,,,,,,,2022/03/30,kumikae,E531-1011が返却され運用復帰。
kh40-2019,,,,,,,,,,,,,,2022/05/07,other,小湊鉄道にて営業運転開始
70-09,70-47,70-48,70-12,,,,,,,,,,,2022/05/20,haisya,KYにて廃車。
kh40-2018,,,,,,,,,,,,,,2022/05/28,other,小湊鉄道にて営業運転開始
70-05,209-3101,209-3102,70-08,,,,,,,,,,,2022/05/31,haisya,KYにて廃車。
kh110-214,,,,,,,,,,,,,,2022/10/01,tenzoku,郡山総合車両センター会津若松派出所に転属
kh110-302,,,,,,,,,,,,,,2022/10/01,tenzoku,郡山総合車両センター会津若松派出所に転属
khe120-2,,,,,,,,,,,,,,2022/10/01,toso,旧国鉄色ラッピング
e235-141,e235-142,e235-143,e235-144,e235-145,e235-146,e235-147,e235-148,e235-149,e231-4617,e235-150,,,,2022/10/01,toso,鉄道開業150周年ラッピングNetflixコラボ塗装
kh40-2016,,,,,,,,,,,,,,2022/10/02,other,小湊鉄道にて営業運転開始
kh110-301,,,,,,,,,,,,,,2022/11/05,tenzoku,郡山総合車両センター会津若松派出所に転属
kh110-301,,,,,,,,,,,,,,2022/11/05,toso,キハ40系東北地域本社色ラッピング
e657-161,e657-162,e657-163,e657-164,e657-165,e657-166,e657-167,e657-168,e657-169,e657-170,,,,,2022/12/22,toso,グリーンレイク塗装
e235-141,e235-142,e235-143,e235-144,e235-145,e235-146,e235-147,e235-148,e235-149,e231-4617,e235-150,,,,2022/12/31,toso,ラッピング終了。
e657-111,e657-112,e657-113,e657-114,e657-115,e657-116,e657-117,e657-118,e657-119,e657-120,,,,,2023/02/06,toso,スカーレットブロッサム塗装
e657-011,e657-012,e657-013,e657-014,e657-015,e657-016,e657-017,e657-018,e657-019,e657-020,,,,,2023/04/27,toso,イエロージョンキル塗装
e657-001,e657-002,e657-003,e657-004,e657-005,e657-006,e657-007,e657-008,e657-009,e657-010,,,,,2023/06/08,toso,オレンジパーシモン塗装
e653-08,e653-09,e653-10,e653-11,e653-12,e653-13,e653-14,,,,,,,,2023/08/29,tenzoku,水色のフレッシュひたち塗装にし、K71編成として勝田車両センターに転属。
kh110-135,,,,,,,,,,,,,,2023/09/15,enmei,
kh110-135,,,,,,,,,,,,,,2023/09/15,toso,タラコ色ラッピング
khe130-13,,,,,,,,,,,,,,2023/09/16,toso,オレンジパーシモントレイン塗装
e657-021,e657-022,e657-023,e657-024,e657-025,e657-026,e657-027,e657-028,e657-029,e657-030,,,,,2023/09/27,toso,ブルーオーシャン塗装
e501-56,e501-57,e501-58,e501-59,e501-60,,,,,,,,,,2023/10/26,tenkai,SAKIGAKEに改造
e531-261,,,,,,,,,,,,,,2024/03/01,kumikae,K409編成に組み込み。
e531-081,e531-082,e531-083,e531-084,e531-085,e531-086,e531-087,e531-088,e531-089,e531-261,,,,,2024/03/01,kumikae,代替新造したクハE531-17を組み込み運用復帰。
e653-105,e653-106,e653-107,e653-108,,,,,,,,,,,2024/04/15,toso,新潟駅開業120周年、羽越本線全線開通100周年を記念して上沼垂色に塗装変更。
205-0204,205-0205,205-0206,205-0187,,,,,,,,,,,2024/04/18,haisya,KYにて廃車。
kh110-214,,,,,,,,,,,,,,2024/06/24,enmei,
71-01,71-02,71-03,71-04,71-05,71-06,71-07,71-08,71-09,71-10,,,,,2024/11/20-21,kosyu,TKまで甲種輸送。新津〜新潟タはDD200-17、新潟タ〜高崎操はEH200-14、高崎操〜TKはEF65-2067が牽引。
71-01,,,,,,,,,,,,,,2024/11/20-21,other,運転台にりんかるのぬいぐるみを載せて甲種輸送。
71-01,71-02,71-03,71-04,71-05,71-06,71-07,71-08,71-09,71-10,,,,,2024/11/25,haichi,TKから八潮車両基地まで自走。東臨運輸区に配置。
khe130-07,,,,,,,,,,,,,,2025/03/18,toso,通常塗装
205-0244,205-0245,205-0246,205-0247,,,,,,,,,,,2025/03/26,haisya,KYにて廃車。
70-36,70-37,70-38,70-39,70-40,70-41,70-42,70-43,,,,,,,2025/05/24,haisya,廃車され、解体場までは陸送。
70-35,70-44,,,,,,,,,,,,,2025/05/28-31,joto,JR九州に譲渡。28日に東京港まで陸送。オーシャン東九フェリー「どうご」で海上輸送し30日新門司港到着。31日小倉工場に到着した。
71-11,71-12,71-13,71-14,71-15,71-16,71-17,71-18,71-19,71-20,,,,,2025/06/04-05,kosyu,TKまで甲種輸送。新津〜新潟タはDD200-6、新潟タ〜高崎操はEH200-19、高崎操〜TKはEF65-2084が牽引。
e131-801,e131-802,e131-803,e131-804,,,,,,,,,,,2025/06/04-07,haikyu,郡山までE493系オク01編成が牽引、宮城野派出所までTS07編成が牽引。宮城野派出所に配置。
71-11,71-12,71-13,71-14,71-15,71-16,71-17,71-18,71-19,71-20,,,,,2025/06/09,haichi,TKから八潮車両基地まで自走。東臨運輸区に配置。
e501-49,e501-54,,,,,,,,,,,,,2025/07/25,haisya,KYにて廃車。
e657-161,e657-162,e657-163,e657-164,e657-165,e657-166,e657-167,e657-168,e657-169,e657-170,,,,,2025/08/19,toso,通常塗装
e26-02,e26-03,e26-04,e26-05,e26-06,e26-07,e26-08,e26-09,e26-10,e26-11,e26-12,,,,2025/09/04,haisya,NNにて廃車
e501-46,e501-47,e501-48,e501-50,e501-51,e501-52,e501-53,e501-55,,,,,,,2025/09/12,joto,JR九州に譲渡
24kn-113,,,,,,,,,,,,,,2025/09/18,haisya,ATにて廃車
e235-381,e235-382,e235-383,e235-384,e235-385,e235-386,e235-387,e235-388,e235-389,e231-4643,e235-390,,,,2025/09/19,toso,103系風ラッピング
e235-431,e235-432,e235-433,e235-434,e235-435,e235-436,e235-437,e235-438,e235-439,e231-4648,e235-440,,,,2025/09/25,toso,205系風ラッピング
e233-7161,e233-7162,e233-7163,e233-7164,e233-7165,e233-7166,e233-7167,e233-7168,e233-7169,e233-7170,,,,,2025/09/30,toso,埼京線開業40周年記念ラッピング
71-01,71-02,71-03,71-04,71-05,71-06,71-07,71-08,71-09,71-10,,,,,2025/10/01,other,東京テレポート1607発1690T列車として営業運転開始
e131-805,e131-806,e131-807,e131-808,,,,,,,,,,,2025/10/15-18,haikyu,郡山までE493系オク02編成が牽引、石巻までTS01編成が牽引。石巻からは自走し宮城野派出所に配置。
e131-809,e131-810,e131-811,e131-812,,,,,,,,,,,2025/10/24-27,haikyu,郡山までE493系オク02編成が牽引、石巻までTS01編成が牽引。石巻からは自走し宮城野派出所に配置。
e657-111,e657-112,e657-113,e657-114,e657-115,e657-116,e657-117,e657-118,e657-119,e657-120,,,,,2025/10/28,toso,通常塗装
70-50,70-51,70-52,70-53,70-54,70-55,70-56,70-57,,,,,,,2025/11/01,haisya,廃車され、解体場までは陸送。
70-49,70-58,,,,,,,,,,,,,2025/11/05-08,joto,JR九州に譲渡。5日に東京港まで陸送。オーシャン東九フェリー「どうご」で海上輸送し7日新門司港到着。8日小倉工場に到着した。
71-21,71-22,71-23,71-24,71-25,71-26,71-27,71-28,71-29,71-30,,,,,2025/11/12-13,kosyu,TKまで甲種輸送。新津〜新潟タはDD200-3、新潟タ〜高崎操はEH200-3、高崎操〜TKはEF65-2096が牽引。
71-21,71-22,71-23,71-24,71-25,71-26,71-27,71-28,71-29,71-30,,,,,2025/11/17,haichi,TKから八潮車両基地まで自走。東臨運輸区に配置。
e233-1021,e233-1022,e233-1023,e233-1024,e233-1025,e233-1026,e233-1027,e233-1028,e233-1029,e233-1030,,,,,2025/11/21,nyujo,TKに入場
e131-813,e131-814,e131-815,e131-816,,,,,,,,,,,2025/11/21-24,haikyu,郡山までE493系オク02編成が牽引、石巻までTS01編成が牽引。石巻からは自走し宮城野派出所に配置。
205-0264,205-0265,205-0266,205-0267,,,,,,,,,,,2025/11/24,haisya,KYにて廃車。
e131-817,e131-818,e131-819,e131-820,,,,,,,,,,,2025/11/28-12/01,haikyu,郡山までE493系オク01編成が牽引、石巻までTS01編成が牽引。石巻からは自走し宮城野派出所に配置。
205-1079,205-0055,205-0056,205-1082,,,,,,,,,,,2025/12/01,haisya,KYにて廃車。
e131-821,e131-822,e131-823,e131-824,,,,,,,,,,,2025/12/08-11,haikyu,郡山までE493系オク01編成が牽引、石巻までTS01編成が牽引。石巻からは自走し宮城野派出所に配置。
205-0184,205-0185,205-0186,205-0167,,,,,,,,,,,2025/12/11,haisya,KYにて廃車。
e131-825,e131-826,e131-827,e131-828,,,,,,,,,,,2025/12/15-17,haikyu,郡山までE493系オク01編成が牽引、石巻までTS01編成が牽引。石巻からは自走し宮城野派出所に配置。
205-0194,205-0215,205-0216,205-0197,205-1059,205-0275,205-0276,205-1062,,,,,,,2025/12/18,haisya,ATにて廃車。
e131-829,e131-830,e131-831,e131-832,,,,,,,,,,,2025/12/26-28,haikyu,郡山までE493系オク02編成が牽引、石巻までTS01編成が牽引。石巻からは自走し宮城野派出所に配置。
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
e657-011,e657-012,e657-013,e657-014,e657-015,e657-016,e657-017,e657-018,e657-019,e657-020,,,,,2026/01/06,toso,通常塗装
e131-833,e131-834,e131-835,e131-836,,,,,,,,,,,2026/01/09-12,haikyu,郡山までE493系オク02編成が牽引、石巻までTS01編成が牽引。石巻からは自走し宮城野派出所に配置。
e131-837,e131-838,e131-839,e131-840,,,,,,,,,,,2026/01/19-21,haikyu,郡山までE493系オク02編成が牽引、石巻までTS01編成が牽引。石巻からは自走し宮城野派出所に配置。
e233-1021,e233-1022,e233-1023,e233-1024,e233-1025,e233-1026,e233-1027,e233-1028,e233-1029,e233-1030,,,,,2026/01/23,kumikae,京葉線仕様になってTK出場
205-0064,205-0068,205-0069,205-0067,205-0174,205-0195,205-0196,205-0177,,,,,,,2026/01/27,haisya,ATにて廃車。
e235-431,e235-432,e235-433,e235-434,e235-435,e235-436,e235-437,e235-438,e235-439,e231-4648,e235-440,,,,2026/02/03,toso,ラッピング終了。
e131-849,e131-850,e131-851,e131-852,,,,,,,,,,,2026/02/09-11,haikyu,郡山までE493系オク02編成が牽引、石巻までTS02編成が牽引。石巻からは自走し宮城野派出所に配置。
205-0094,205-0095,205-0096,205-0097,,,,,,,,,,,2026/02/11,haisya,KYにて廃車。
e131-841,e131-842,e131-843,e131-844,,,,,,,,,,,2026/02/14-20,haikyu,14~15日、郡山までE493系オク02編成が牽引、19日、石巻までTS02編成が牽引。石巻からは自走し宮城野派出所に配置。
e235-381,e235-382,e235-383,e235-384,e235-385,e235-386,e235-387,e235-388,e235-389,e231-4643,e235-390,,,,2026/02/20,toso,ラッピング終了。
e131-845,e131-846,e131-847,e131-848,,,,,,,,,,,2026/02/20-22,haikyu,郡山までE493系オク01編成が牽引、石巻までTS02編成が牽引。石巻からは自走し宮城野派出所に配置。
e233-7161,e233-7162,e233-7163,e233-7164,e233-7165,e233-7166,e233-7167,e233-7168,e233-7169,e233-7170,,,,,2026/02/28,toso,通常塗装
e131-853,e131-854,e131-855,e131-856,,,,,,,,,,,2026/03/02-04,haikyu,郡山までE493系オク01編成が牽引、石巻までTS02編成が牽引。石巻からは自走し宮城野派出所に配置。
