車両ID-01,車両ID-02,車両ID-03,車両ID-04,車両ID-05,車両ID-06,車両ID-07,車両ID-08,車両ID-09,車両ID-10,車両ID-11,車両ID-12,車両ID-13,車両ID-14,日付,スタンプ,記述
205-0244,205-0245,205-0246,205-0247,,,,,,,,,,,2003/03/18,sosei,KYにて転用改造、M8編成として組成。
205-0855,205-0255,205-0256,205-0858,,,,,,,,,,,2003/02/02,sosei,ATにて転用改造、M9編成として組成。
205-0264,205-0265,205-0266,205-0267,,,,,,,,,,,2003/05/29,sosei,KYにて転用改造、M10編成として組成。
50ohf-2301,,,,,,,,,,,,,,2003/07/01,kaizo,マヤ50-5001に改造。
205-1059,205-0275,205-0276,205-1062,,,,,,,,,,,2003/08/06,sosei,ATにて転用改造、M11編成として組成。
205-0845,205-0285,205-0286,205-0848,,,,,,,,,,,2003/09/11,sosei,KYにて転用改造、M12編成として組成。
205-0254,205-0295,205-0296,205-0257,,,,,,,,,,,2003/08/29,sosei,ATにて転用改造、M13編成として組成。
205-0284,205-0305,205-0306,205-0287,,,,,,,,,,,2003/11/16,sosei,KYにて転用改造、M14編成として組成。
205-1079,205-0055,205-0056,205-1082,,,,,,,,,,,2003/12/11,sosei,ATにて転用改造、M15編成として組成。
205-0865,205-0065,205-0066,205-0868,,,,,,,,,,,2004/03/29,sosei,KYにて転用改造、M16編成として組成。
205-0094,205-0095,205-0096,205-0097,,,,,,,,,,,2004/03/31,sosei,ATにて転用改造、M17編成として組成。
205-1069,205-0045,205-0046,205-1072,,,,,,,,,,,2004/06/24,sosei,KYにて転用改造、M18編成として組成。
70-09,70-59,70-60,70-81,70-18,70-19,70-82,70-10,70-11,70-12,,,,,2004/10/02,kumikae,組み換えと新車2両を増備し、Z3編成10両化。
70-05,70-47,70-48,70-83,70-10,70-11,70-84,70-06,70-07,70-08,,,,,2004/10/06,kumikae,組み換えと新車2両を増備し、Z2編成10両化。
70-01,70-45,70-46,70-85,70-06,70-07,70-86,70-02,70-03,70-04,,,,,2004/10/13,kumikae,組み換えと新車2両を増備し、Z1編成10両化。
