会社名,路線系統,所属基地,形式,番台,編成名,組成順,略号,車両番号,車両ID,始,終,見出しアイコン,編成アイコン,車体アイコン,pl,pr,bl,bc,br,左方向,右方向,ATACS-ID,ラッピング,消滅済,見出し特記事項,変遷変更点,編成情報(選択),編成情報(記述),車両情報(選択),車両情報(記述),集電装置,主電動機,制御装置,補助電源装置,空気圧縮機,動力台車,付随台車
JR東海,静岡エリア,静岡車両区,313系,1300番台,L2,1,Tc',クハ312-1302,313-1303,2024/03/05,,313-0,313-0,313-0-1,,,t,,t,甲府・沼津,富士・国府津,,,,1300番台,静岡に転属,"om,s3",,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,1300番台,L2,2,Mc,クモハ313-1302,313-1304,2024/03/05,,313-0,313-0,313-0-3,＜,＞,m,,m,甲府・沼津,富士・国府津,,,,1300番台,静岡に転属,"om,s3",,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,1300番台,L3,1,Tc',クハ312-1303,313-1305,2024/03/05,,313-0,313-0,313-0-1,,,t,,t,甲府・沼津,富士・国府津,,,,1300番台,静岡に転属,"om,s3",,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,1300番台,L3,2,Mc,クモハ313-1303,313-1306,2024/03/05,,313-0,313-0,313-0-3,＜,＞,m,,m,甲府・沼津,富士・国府津,,,,1300番台,静岡に転属,"om,s3",,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,1300番台,L4,1,Tc',クハ312-1304,313-1307,2024/03/05,,313-0,313-0,313-0-1,,,t,,t,甲府・沼津,富士・国府津,,,,1300番台,静岡に転属,"om,s3",,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,1300番台,L4,2,Mc,クモハ313-1304,313-1308,2024/03/05,,313-0,313-0,313-0-3,＜,＞,m,,m,甲府・沼津,富士・国府津,,,,1300番台,静岡に転属,"om,s3",,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,1300番台,L5,1,Tc',クハ312-1305,313-1309,2024/03/05,,313-0,313-0,313-0-1,,,t,,t,甲府・沼津,富士・国府津,,,,1300番台,静岡に転属,"om,s3",,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,1300番台,L5,2,Mc,クモハ313-1305,313-1310,2024/03/05,,313-0,313-0,313-0-3,＜,＞,m,,m,甲府・沼津,富士・国府津,,,,1300番台,静岡に転属,"om,s3",,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,1300番台,L6,1,Tc',クハ312-1306,313-1311,2023/12/03,,313-0,313-0,313-0-1,,,t,,t,甲府・沼津,富士・国府津,,,,1300番台,静岡に転属,"om,s3",,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,1300番台,L6,2,Mc,クモハ313-1306,313-1312,2023/12/03,,313-0,313-0,313-0-3,＜,＞,m,,m,甲府・沼津,富士・国府津,,,,1300番台,静岡に転属,"om,s3",,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,1300番台,L7,1,Tc',クハ312-1307,313-1313,2023/12/03,,313-0,313-0,313-0-1,,,t,,t,甲府・沼津,富士・国府津,,,,1300番台,静岡に転属,"om,s3",,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,1300番台,L7,2,Mc,クモハ313-1307,313-1314,2023/12/03,,313-0,313-0,313-0-3,＜,＞,m,,m,甲府・沼津,富士・国府津,,,,1300番台,静岡に転属,"om,s3",,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,1300番台,L8,1,Tc',クハ312-1308,313-1315,2023/12/03,,313-0,313-0,313-0-1,,,t,,t,甲府・沼津,富士・国府津,,,,1300番台,静岡に転属,"om,s3",,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,1300番台,L8,2,Mc,クモハ313-1308,313-1316,2023/12/03,,313-0,313-0,313-0-3,＜,＞,m,,m,甲府・沼津,富士・国府津,,,,1300番台,静岡に転属,"om,s3",,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2350番台,W1,1,Tc',クハ312-2308,313-2301,2006/12/08,,313-0,313-0,313-0-1,,,t,,t,豊橋・甲府,熱海・国府津,,,,2300/2350番台,,s0,霜取りパンタ搭載,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2350番台,W1,2,Mc,クモハ313-2351,313-2302,2006/12/08,,313-0,313-0,313-0-3,＜,＞,m,,m,豊橋・甲府,熱海・国府津,,,,2300/2350番台,,s0,霜取りパンタ搭載,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2350番台,W2,1,Tc',クハ312-2309,313-2303,2006/12/08,,313-0,313-0,313-0-1,,,t,,t,豊橋・甲府,熱海・国府津,,,,2300/2350番台,,s0,霜取りパンタ搭載,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2350番台,W2,2,Mc,クモハ313-2352,313-2304,2006/12/08,,313-0,313-0,313-0-3,＜,＞,m,,m,豊橋・甲府,熱海・国府津,,,,2300/2350番台,,s0,霜取りパンタ搭載,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2300番台,W3,1,Tc',クハ312-2301,313-2305,2006/12/15,,313-0,313-0,313-0-1,,,t,,t,豊橋・甲府,熱海・国府津,,,,2300/2350番台,,s0,,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2300番台,W3,2,Mc,クモハ313-2301,313-2306,2006/12/15,,313-0,313-0,313-0-3,＜,,m,,m,豊橋・甲府,熱海・国府津,,,,2300/2350番台,,s0,,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2300番台,W4,1,Tc',クハ312-2302,313-2307,2006/12/15,,313-0,313-0,313-0-1,,,t,,t,豊橋・甲府,熱海・国府津,,,,2300/2350番台,,s0,,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2300番台,W4,2,Mc,クモハ313-2302,313-2308,2006/12/15,,313-0,313-0,313-0-3,＜,,m,,m,豊橋・甲府,熱海・国府津,,,,2300/2350番台,,s0,,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2300番台,W5,1,Tc',クハ312-2303,313-2309,2007/01/19,,313-0,313-0,313-0-1,,,t,,t,豊橋・甲府,熱海・国府津,,,,2300/2350番台,,s0,,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2300番台,W5,2,Mc,クモハ313-2303,313-2310,2007/01/19,,313-0,313-0,313-0-3,＜,,m,,m,豊橋・甲府,熱海・国府津,,,,2300/2350番台,,s0,,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2300番台,W6,1,Tc',クハ312-2304,313-2311,2007/01/19,,313-0,313-0,313-0-1,,,t,,t,豊橋・甲府,熱海・国府津,,,,2300/2350番台,,s0,,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2300番台,W6,2,Mc,クモハ313-2304,313-2312,2007/01/19,,313-0,313-0,313-0-3,＜,,m,,m,豊橋・甲府,熱海・国府津,,,,2300/2350番台,,s0,,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2300番台,W7,1,Tc',クハ312-2305,313-2313,2007/01/28,,313-0,313-0,313-0-1,,,t,,t,豊橋・甲府,熱海・国府津,,,,2300/2350番台,,s0,,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2300番台,W7,2,Mc,クモハ313-2305,313-2314,2007/01/28,,313-0,313-0,313-0-3,＜,,m,,m,豊橋・甲府,熱海・国府津,,,,2300/2350番台,,s0,,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2300番台,W8,1,Tc',クハ312-2306,313-2315,2007/01/28,,313-0,313-0,313-0-1,,,t,,t,豊橋・甲府,熱海・国府津,,,,2300/2350番台,,s0,,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2300番台,W8,2,Mc,クモハ313-2306,313-2316,2007/01/28,,313-0,313-0,313-0-3,＜,,m,,m,豊橋・甲府,熱海・国府津,,,,2300/2350番台,,s0,,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2300番台,W9,1,Tc',クハ312-2307,313-2317,2007/01/28,,313-0,313-0,313-0-1,,,t,,t,豊橋・甲府,熱海・国府津,,,,2300/2350番台,,s0,,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2300番台,W9,2,Mc,クモハ313-2307,313-2318,2007/01/28,,313-0,313-0,313-0-3,＜,,m,,m,豊橋・甲府,熱海・国府津,,,,2300/2350番台,,s0,,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T1,1,Tc',クハ312-2310,313-2501,2006/12/21,,313-0,313-0,313-0-1,,,t,,t,豊橋,熱海,,,,2500番台,,s0,,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T1,2,M,モハ313-2501,313-2502,2006/12/21,,313-0,313-0,313-0-2,,,t,,m,豊橋,熱海,,,,2500番台,,s0,,0,,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T1,3,Mc,クモハ313-2501,313-2503,2006/12/21,,313-0,313-0,313-0-3,＜,,m,,m,豊橋,熱海,,,,2500番台,,s0,,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T2,1,Tc',クハ312-2311,313-2504,2006/12/21,,313-0,313-0,313-0-1,,,t,,t,豊橋,熱海,,,,2500番台,,s0,,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T2,2,M,モハ313-2502,313-2505,2006/12/21,,313-0,313-0,313-0-2,,,t,,m,豊橋,熱海,,,,2500番台,,s0,,0,,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T2,3,Mc,クモハ313-2502,313-2506,2006/12/21,,313-0,313-0,313-0-3,＜,,m,,m,豊橋,熱海,,,,2500番台,,s0,,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T3,1,Tc',クハ312-2312,313-2507,2006/12/21,,313-0,313-0,313-0-1,,,t,,t,豊橋,熱海,,,,2500番台,,s0,,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T3,2,M,モハ313-2503,313-2508,2006/12/21,,313-0,313-0,313-0-2,,,t,,m,豊橋,熱海,,,,2500番台,,s0,,0,,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T3,3,Mc,クモハ313-2503,313-2509,2006/12/21,,313-0,313-0,313-0-3,＜,,m,,m,豊橋,熱海,,,,2500番台,,s0,,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T4,1,Tc',クハ312-2313,313-2510,2007/01/19,,313-0,313-0,313-0-1,,,t,,t,豊橋,熱海,,,,2500番台,,s0,,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T4,2,M,モハ313-2504,313-2511,2007/01/19,,313-0,313-0,313-0-2,,,t,,m,豊橋,熱海,,,,2500番台,,s0,,0,,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T4,3,Mc,クモハ313-2504,313-2512,2007/01/19,,313-0,313-0,313-0-3,＜,,m,,m,豊橋,熱海,,,,2500番台,,s0,,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T5,1,Tc',クハ312-2314,313-2513,2007/01/19,,313-0,313-0,313-0-1,,,t,,t,豊橋,熱海,,,,2500番台,,s0,,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T5,2,M,モハ313-2505,313-2514,2007/01/19,,313-0,313-0,313-0-2,,,t,,m,豊橋,熱海,,,,2500番台,,s0,,0,,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T5,3,Mc,クモハ313-2505,313-2515,2007/01/19,,313-0,313-0,313-0-3,＜,,m,,m,豊橋,熱海,,,,2500番台,,s0,,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T6,1,Tc',クハ312-2315,313-2516,2007/01/31,,313-0,313-0,313-0-1,,,t,,t,豊橋,熱海,,,,2500番台,,s0,,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T6,2,M,モハ313-2506,313-2517,2007/01/31,,313-0,313-0,313-0-2,,,t,,m,豊橋,熱海,,,,2500番台,,s0,,0,,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T6,3,Mc,クモハ313-2506,313-2518,2007/01/31,,313-0,313-0,313-0-3,＜,,m,,m,豊橋,熱海,,,,2500番台,,s0,,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T7,1,Tc',クハ312-2316,313-2519,2007/01/31,,313-0,313-0,313-0-1,,,t,,t,豊橋,熱海,,,,2500番台,,s0,,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T7,2,M,モハ313-2507,313-2520,2007/01/31,,313-0,313-0,313-0-2,,,t,,m,豊橋,熱海,,,,2500番台,,s0,,0,,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T7,3,Mc,クモハ313-2507,313-2521,2007/01/31,,313-0,313-0,313-0-3,＜,,m,,m,豊橋,熱海,,,,2500番台,,s0,,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T8,1,Tc',クハ312-2317,313-2522,2007/01/31,,313-0,313-0,313-0-1,,,t,,t,豊橋,熱海,,,,2500番台,,s0,,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T8,2,M,モハ313-2508,313-2523,2007/01/31,,313-0,313-0,313-0-2,,,t,,m,豊橋,熱海,,,,2500番台,,s0,,0,,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T8,3,Mc,クモハ313-2508,313-2524,2007/01/31,,313-0,313-0,313-0-3,＜,,m,,m,豊橋,熱海,,,,2500番台,,s0,,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T9,1,Tc',クハ312-2318,313-2525,2007/02/05,,313-0,313-0,313-0-1,,,t,,t,豊橋,熱海,,,,2500番台,,s0,,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T9,2,M,モハ313-2509,313-2526,2007/02/05,,313-0,313-0,313-0-2,,,t,,m,豊橋,熱海,,,,2500番台,,s0,,0,,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T9,3,Mc,クモハ313-2509,313-2527,2007/02/05,,313-0,313-0,313-0-3,＜,,m,,m,豊橋,熱海,,,,2500番台,,s0,,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T10,1,Tc',クハ312-2319,313-2528,2007/02/05,,313-0,313-0,313-0-1,,,t,,t,豊橋,熱海,,,,2500番台,,s0,,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T10,2,M,モハ313-2510,313-2529,2007/02/05,,313-0,313-0,313-0-2,,,t,,m,豊橋,熱海,,,,2500番台,,s0,,0,,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T10,3,Mc,クモハ313-2510,313-2530,2007/02/05,,313-0,313-0,313-0-3,＜,,m,,m,豊橋,熱海,,,,2500番台,,s0,,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T11,1,Tc',クハ312-2320,313-2531,2007/02/05,,313-0,313-0,313-0-1,,,t,,t,豊橋,熱海,,,,2500番台,,s0,,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T11,2,M,モハ313-2511,313-2532,2007/02/05,,313-0,313-0,313-0-2,,,t,,m,豊橋,熱海,,,,2500番台,,s0,,0,,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T11,3,Mc,クモハ313-2511,313-2533,2007/02/05,,313-0,313-0,313-0-3,＜,,m,,m,豊橋,熱海,,,,2500番台,,s0,,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T12,1,Tc',クハ312-2321,313-2534,2007/02/13,,313-0,313-0,313-0-1,,,t,,t,豊橋,熱海,,,,2500番台,,s0,,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T12,2,M,モハ313-2512,313-2535,2007/02/13,,313-0,313-0,313-0-2,,,t,,m,豊橋,熱海,,,,2500番台,,s0,,0,,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T12,3,Mc,クモハ313-2512,313-2536,2007/02/13,,313-0,313-0,313-0-3,＜,,m,,m,豊橋,熱海,,,,2500番台,,s0,,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T13,1,Tc',クハ312-2322,313-2537,2007/02/13,,313-0,313-0,313-0-1,,,t,,t,豊橋,熱海,,,,2500番台,,s0,,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T13,2,M,モハ313-2513,313-2538,2007/02/13,,313-0,313-0,313-0-2,,,t,,m,豊橋,熱海,,,,2500番台,,s0,,0,,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T13,3,Mc,クモハ313-2513,313-2539,2007/02/13,,313-0,313-0,313-0-3,＜,,m,,m,豊橋,熱海,,,,2500番台,,s0,,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T14,1,Tc',クハ312-2323,313-2540,2007/02/13,,313-0,313-0,313-0-1,,,t,,t,豊橋,熱海,,,,2500番台,,s0,,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T14,2,M,モハ313-2514,313-2541,2007/02/13,,313-0,313-0,313-0-2,,,t,,m,豊橋,熱海,,,,2500番台,,s0,,0,,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T14,3,Mc,クモハ313-2514,313-2542,2007/02/13,,313-0,313-0,313-0-3,＜,,m,,m,豊橋,熱海,,,,2500番台,,s0,,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T15,1,Tc',クハ312-2324,313-2543,2007/02/16,,313-0,313-0,313-0-1,,,t,,t,豊橋,熱海,,,,2500番台,,s0,,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T15,2,M,モハ313-2515,313-2544,2007/02/16,,313-0,313-0,313-0-2,,,t,,m,豊橋,熱海,,,,2500番台,,s0,,0,,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T15,3,Mc,クモハ313-2515,313-2545,2007/02/16,,313-0,313-0,313-0-3,＜,,m,,m,豊橋,熱海,,,,2500番台,,s0,,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T16,1,Tc',クハ312-2425,313-2546,2007/02/16,,313-0,313-0,313-0-1,,,t,,t,豊橋,熱海,,,,2500番台,,s0,,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T16,2,M,モハ313-2516,313-2547,2007/02/16,,313-0,313-0,313-0-2,,,t,,m,豊橋,熱海,,,,2500番台,,s0,,0,,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T16,3,Mc,クモハ313-2516,313-2548,2007/02/16,,313-0,313-0,313-0-3,＜,,m,,m,豊橋,熱海,,,,2500番台,,s0,,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T17,1,Tc',クハ312-2326,313-2549,2007/02/16,,313-0,313-0,313-0-1,,,t,,t,豊橋,熱海,,,,2500番台,,s0,,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T17,2,M,モハ313-2517,313-2550,2007/02/16,,313-0,313-0,313-0-2,,,t,,m,豊橋,熱海,,,,2500番台,,s0,,0,,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,2500番台,T17,3,Mc,クモハ313-2517,313-2551,2007/02/16,,313-0,313-0,313-0-3,＜,,m,,m,豊橋,熱海,,,,2500番台,,s0,,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,3000番台,V1,1,Tc',クハ312-3001,313-3001,1999/03/01,2006/12/05,313-0,313-0,313-0-1,,,t,,t,豊橋・甲府,熱海・国府津,,,◯,3000番台パンタ増設前,,"om,s1",,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,3000番台,V1,2,Mc,クモハ313-3001,313-3002,1999/03/01,2006/12/05,313-0,313-0,313-0-3,＜,,m,,m,豊橋・甲府,熱海・国府津,,,◯,3000番台パンタ増設前,,"om,s1",,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,3000番台,V2,1,Tc',クハ312-3002,313-3003,1999/03/01,2007/01/23,313-0,313-0,313-0-1,,,t,,t,豊橋・甲府,熱海・国府津,,,◯,3000番台パンタ増設前,,"om,s1",,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,3000番台,V2,2,Mc,クモハ313-3002,313-3004,1999/03/01,2007/01/23,313-0,313-0,313-0-3,＜,,m,,m,豊橋・甲府,熱海・国府津,,,◯,3000番台パンタ増設前,,"om,s1",,"0,c",,,,,,,,
