会社名,路線系統,所属基地,形式,番台,編成名,組成順,略号,車両番号,車両ID,始,終,見出しアイコン,編成アイコン,車体アイコン,pl,pr,bl,bc,br,左方向,右方向,ATACS-ID,ラッピング,消滅済,見出し特記事項,変遷変更点,編成情報(選択),編成情報(記述),車両情報(選択),車両情報(記述),集電装置,主電動機,制御装置,補助電源装置,空気圧縮機,動力台車,付随台車
JR東海,静岡エリア,静岡車両区,313系,300番台,K1,1,Tc',クハ312-301,313-301,2024/03/23,,313-0,313-0,313-0-1,,,t,,t,豊橋・甲府,熱海・国府津,,,,300番台,静岡に転属,s3,,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,300番台,K1,2,Mc,クモハ313-301,313-302,2024/03/23,,313-0,313-0,313-0-3,＜,,m,,m,豊橋・甲府,熱海・国府津,,,,300番台,静岡に転属,s3,,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,300番台,K2,1,Tc',クハ312-302,313-303,2024/03/24,,313-0,313-0,313-0-1,,,t,,t,豊橋・甲府,熱海・国府津,,,,300番台,静岡に転属,s3,,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,300番台,K2,2,Mc,クモハ313-302,313-304,2024/03/24,,313-0,313-0,313-0-3,＜,,m,,m,豊橋・甲府,熱海・国府津,,,,300番台,静岡に転属,s3,,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,300番台,K3,1,Tc',クハ312-303,313-305,2024/03/24,,313-0,313-0,313-0-1,,,t,,t,豊橋・甲府,熱海・国府津,,,,300番台,静岡に転属,s3,,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,300番台,K3,2,Mc,クモハ313-303,313-306,2024/03/24,,313-0,313-0,313-0-3,＜,,m,,m,豊橋・甲府,熱海・国府津,,,,300番台,静岡に転属,s3,,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,300番台,K4,1,Tc',クハ312-304,313-307,2024/07/21,,313-0,313-0,313-0-1,,,t,,t,豊橋・甲府,熱海・国府津,,,,300番台,静岡に転属,s3,,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,300番台,K4,2,Mc,クモハ313-304,313-308,2024/07/21,,313-0,313-0,313-0-3,＜,,m,,m,豊橋・甲府,熱海・国府津,,,,300番台,静岡に転属,s3,,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,300番台,K5,1,Tc',クハ312-305,313-309,2024/03/18,,313-0,313-0,313-0-1,,,t,,t,豊橋・甲府,熱海・国府津,,,,300番台,静岡に転属,s3,,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,300番台,K5,2,Mc,クモハ313-305,313-310,2024/03/18,,313-0,313-0,313-0-3,＜,,m,,m,豊橋・甲府,熱海・国府津,,,,300番台,静岡に転属,s3,,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,300番台,K6,1,Tc',クハ312-306,313-311,2024/03/24,,313-0,313-0,313-0-1,,,t,,t,豊橋・甲府,熱海・国府津,,,,300番台,静岡に転属,s3,,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,300番台,K6,2,Mc,クモハ313-306,313-312,2024/03/24,,313-0,313-0,313-0-3,＜,,m,,m,豊橋・甲府,熱海・国府津,,,,300番台,静岡に転属,s3,,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,300番台,K7,1,Tc',クハ312-307,313-313,2024/03/18,,313-0,313-0,313-0-1,,,t,,t,豊橋・甲府,熱海・国府津,,,,300番台,静岡に転属,s3,,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,300番台,K7,2,Mc,クモハ313-307,313-314,2024/03/18,,313-0,313-0,313-0-3,＜,,m,,m,豊橋・甲府,熱海・国府津,,,,300番台,静岡に転属,s3,,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,300番台,K8,1,Tc',クハ312-308,313-315,2024/07/21,,313-0,313-0,313-0-1,,,t,,t,豊橋・甲府,熱海・国府津,,,,300番台,静岡に転属,s3,,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,300番台,K8,2,Mc,クモハ313-308,313-316,2024/07/21,,313-0,313-0,313-0-3,＜,,m,,m,豊橋・甲府,熱海・国府津,,,,300番台,静岡に転属,s3,,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,300番台,K9,1,Tc',クハ312-309,313-317,2024/03/18,,313-0,313-0,313-0-1,,,t,,t,豊橋・甲府,熱海・国府津,,,,300番台,静岡に転属,s3,,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,300番台,K9,2,Mc,クモハ313-309,313-318,2024/03/18,,313-0,313-0,313-0-3,＜,,m,,m,豊橋・甲府,熱海・国府津,,,,300番台,静岡に転属,s3,,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,300番台,K10,1,Tc',クハ312-310,313-319,2024/03/24,,313-0,313-0,313-0-1,,,t,,t,豊橋・甲府,熱海・国府津,,,,300番台,静岡に転属,s3,,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,300番台,K10,2,Mc,クモハ313-310,313-320,2024/03/24,,313-0,313-0,313-0-3,＜,,m,,m,豊橋・甲府,熱海・国府津,,,,300番台,静岡に転属,s3,,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,300番台,K11,1,Tc',クハ312-311,313-321,2024/03/23,,313-0,313-0,313-0-1,,,t,,t,豊橋・甲府,熱海・国府津,,,,300番台,静岡に転属,s3,,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,300番台,K11,2,Mc,クモハ313-311,313-322,2024/03/23,,313-0,313-0,313-0-3,＜,,m,,m,豊橋・甲府,熱海・国府津,,,,300番台,静岡に転属,s3,,"0,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,1300番台,L1,1,Tc',クハ312-1301,313-1301,2023/12/03,,313-0,313-0,313-0-1,,,t,,t,甲府・沼津,富士・国府津,,,,1300番台,静岡に転属,"om,s3",,"0,wc,c",,,,,,,,
JR東海,静岡エリア,静岡車両区,313系,1300番台,L1,2,Mc,クモハ313-1301,313-1302,2023/12/03,,313-0,313-0,313-0-3,＜,＞,m,,m,甲府・沼津,富士・国府津,,,,1300番台,静岡に転属,"om,s3",,"0,c",,,,,,,,
